Come quickly!	Przyjdź szybko!
Why didn't you tell her?	Dlaczego jej nie powiedziałeś?
You're fired.	Jesteś zwolniony.
Tom stood nearby.	Tom stał w pobliżu.
My family is small.	Moja rodzina jest mała.
I need to get to bed.	Muszę położyć się do łóżka.
Don't you want to go to Boston with me?	Nie chcesz iść ze mną do Bostonu?
People who are afraid of making mistakes will make no progress in English conversation.	Ludzie, którzy boją się robić błędy, nie zrobią postępów w rozmowie po angielsku.
I'll do whatever I can to make it easy for you.	Zrobię, co mogę, żeby ci to ułatwić.
The clock isn't working.	Zegar nie chodzi.
I didn't know you used to live in Boston.	Nie wiedziałem, że mieszkałeś w Bostonie.
Are you really married?	Naprawdę jesteś żonaty?
Would you stop babbling?	Mógłbyś przestać trajkotać?
You are not a doctor.	Nie jest pan lekarzem.
Thou shalt not kill.	Nie zabijaj.
I promise you I'll help you.	Obiecuję, że pomogę.
Tom asked for a receipt.	Tom poprosił o paragon.
I shouldn't have to ever come back here.	Nie chciałbym musieć tu kiedykolwiek znowu przyjeżdżać.
I will never hurt you.	Nigdy Cię nie skrzywdzę.
I should have listened more carefully.	Powinienem był słuchać uważniej.
You ask a lot of questions, don't you?	Zadajesz dużo pytań, czyż nie?
There's a small brown dog under the table.	Pod stołem jest mały brązowy pies.
If I had known about it, I would have changed my plan.	Gdybym wtedy o tym wiedział, zmieniłbym swój plan.
Tom begged us to stay.	Tom błagał nas, żebyśmy zostali.
That's not very romantic.	To nie jest zbyt romantyczne.
Tom had a heart tattooed on his arm.	Tom miał na ramieniu wytatuowane serce.
I don't usually eat at places like this.	Zwykle nie jadam w takich miejscach.
There's time for everything.	Jest czas na wszystko.
The room is too small to play in.	Pokój jest za mały, żeby się w nim bawić.
Why did you ask me that?	Dlaczego w ogóle mnie o to zapytałeś?
I'm smart.	Jestem mądry.
I can't understand his feelings.	Nie mogę zrozumieć jego uczuć.
Iron is a useful metal.	Żelazo to pożyteczny metal.
Tom said that his father told him not to do that.	Tom powiedział, że jego ojciec kazał mu tego nie robić.
Your answer is wrong.	Twoja odpowiedź jest zła.
Look, it's snowing!	Patrz, śnieg pada!
If you guys want to sleep here, it's no problem.	Jeśli chcecie tu spać, nie ma problemu.
It's on me.	Ja stawiam.
How much is this handkerchief?	Ile kosztuje ta chustka?
Cacti are plants that live in dry places.	Kaktusy to rośliny, które rosną w suchych miejscach.
That's one question I haven't been able to answer.	Na to jedno pytanie nie potrafiłem odpowiedzieć.
Tom is one of the busiest guys I know.	Tom jest jednym z najbardziej zajętych ludzi, jakich znam.
I gave Tom a little more time to finish his report.	Dałem Tomowi trochę więcej czasu na skończenie raportu.
You can do whatever you want to do, of course.	Oczywiście możesz zrobić, co chcesz.
Does the end justify the means?	Czy cel uświęca środki?
You have problems.	Masz problemy.
That does worry me.	To mnie martwi.
I like to play tennis.	Lubię grać w tenisa.
"What about me do you like?" "Everything."	"Co ci się we mnie podoba?" "Wszystko."
Why aren't Tom and Mary coming?	Czemu Tom i Mary nie idą?
It was hot in the room.	W pokoju było gorąco.
He has worked in this factory for 11 years.	On pracuje w tej fabryce od jedenastu lat.
Tom is deaf in one ear.	Tom jest głuchy na jedno ucho.
Let's split the reward fifty-fifty.	Podzielmy się nagrodą po połowie.
Life is not an exact science, it is an art.	Życie, to nie nauki ścisłe, to sztuka.
She cooks for him.	Ona gotuje dla niego.
He learned to swim.	On nauczył się pływać.
See you then.	No to do zobaczenia.
I was going to wash my hair.	Zamierzałem umyć głowę.
Tom believes that life exists on other planets.	Tom wierzy, że istnieje życie na innych planetach.
I don't think it would work as well as you might expect.	Nie uważam, że to działałoby tak dobrze, jak można by oczekiwać.
It was a complete disaster.	To była kompletna katastrofa.
I will give him another chance.	Dam mu jeszcze jedną szansę.
Tom smoked.	Tom palił.
I'm surprised you didn't know that.	Jestem zaskoczony, że o tym nie wiedziałeś.
Everything was going perfectly.	Wszystko szło perfekcyjnie.
Tom immediately answered Mary's question.	Tom od razu odpowiedział na pytanie Mary.
They're all bad.	Oni są wszyscy źli.
He bought us nice books.	Kupił nam fajne książki.
I don't need this anymore.	Już tego nie potrzebuję.
We exercised.	Ćwiczyliśmy.
You have to learn how to do that.	Musisz się nauczyć jak to robić.
I will send you a copy of my plans as soon as I can.	Jak tylko będę mógł, wyślę ci egzemplarz moich planów.
Yesterday was Friday and the day after tomorrow is Monday.	Wczoraj był piątek, a pojutrze będzie poniedziałek.
Can you please make Tom stop doing that?	Mógłbyś coś zrobić, żeby Tom przestał?
It makes sense.	To ma sens.
A bunch of people were standing outside waiting.	Grupa ludzi czekała na zewnątrz.
I have no homework today.	Nie mam dzisiaj zadania domowego.
The door frame is warped and the door won't close properly.	Futryna drzwi jest wypaczona i drzwi nie zamkną się prawidłowo.
I assume that you know what this is about.	Rozumiem, że wiesz, o czym to jest.
I don't want people to think that I'm flirting with Tom.	Nie chcę, żeby inni myśleli, że flirtuję z Tomem.
Who's Tom looking at?	Na kogo patrzy się Tom?
He may be able to come tomorrow.	Może być w stanie przyjść jutro.
I wrote it down.	Zapisałem to.
Be objective.	Bądź obiektywny.
Tom was surprised when he realized Mary liked him.	Tom był zaskoczony, gdy zorientował się, że Mary go lubi.
Why is this happening again?	Dlaczego to się znowu dzieje?
Tom didn't think Mary was broke.	Tom nie myślał, że Mary była spłukana.
Is Tom a genius?	Tom jest geniuszem?
I like art.	Lubię sztukę.
You're trying.	Jesteś nie do zniesienia.
There wasn't much else we could do.	Niewiele więcej mogliśmy zrobić.
I gave my sister a doll.	Dałem siostrze lalkę.
It was snowing that day.	Tego dnia padał śnieg.
No matter how much she eats, she never gains weight.	Nie ważne ile zje, nigdy nie przybiera na wadze.
You can rest.	Możesz odpocząć.
This television set is heavy.	Ten telewizor jest ciężki.
Ice is solid.	Lód jest sztywny.
The toilet is over there.	Toaleta jest tam.
Control yourselves.	Opanujcie się.
Bite the bullet.	Ugryź pocisk.
Let's play baseball!	Zagrajmy w baseball!
We're scared it'll happen again.	Obawiamy się, że to zdarzy się ponownie.
Tom found your keys.	Tom znalazł twoje klucze.
That was a conscious decision.	To była świadoma decyzja.
I don't ever want to see you again.	Wynocha z mego życia!
How much money are we talking about?	O jakiej kwocie mówimy?
Where can I get one of those?	Gdzie mogę taki dostać?
Don't do that to me.	Nie rób mi tego.
The new government promised to rid the country of corruption.	Nowy rząd obiecał ukrócić korupcję w kraju.
You're opportunistic.	Jesteś oportunistyczny.
I love my new job.	Uwielbiam moją nową pracę.
I forgot all about Tom.	Zupełnie zapomniałam o Tomie.
Tom is a friend of the family.	Tom jest przyjacielem rodziny.
Tom put his gun under his pillow.	Tom wsadził swój pistolet pod poduszkę.
Where can I buy that magazine?	Gdzie mogę kupić to czasopismo?
The cat was playing with a live mouse.	Kot bawił się z żywą myszą.
You can't stop me from thinking about it.	Nie możesz mnie powstrzymać przed myśleniem o tym.
I will not tolerate this.	Nie będę tego tolerować.
I don't want Tom making the same mistakes I made.	Nie chcę, żeby Tom popełnił te same błędy, co ja.
Time was running out.	Czas się kończył.
Tom insisted that Mary go there by herself.	Tom uparł się, żeby Mary poszła tam sama.
I haven't thought about that in a long time.	Nie myślałem o tym od dłuższego czasu.
Do you have a tattoo?	Masz jakiś tatuaż?
I'm going to need some help.	Będę potrzebować pomocy.
We shouldn't leave the matter unsettled.	Nie powinniśmy tak zostawiać tej sprawy.
Drive carefully.	Jedź ostrożnie.
May I bring my friends?	Mogę przyprowadzić znajomych?
You're a murderer.	Jesteś mordercą.
Do you sometimes get heartburn?	Czy czasami masz zgagę?
I wonder who invented it.	Jestem ciekaw kto to wymyślił.
Imagine that you have a time machine.	Wyobraź sobie, że masz wehikuł czasu.
Tom knows.	Tom wie.
I plan to see him on Monday.	Planuję zobaczyć się z nim w poniedziałek.
I agree with that opinion.	Zgadzam się z twoją opinią.
I'll eat the oranges.	Zjem pomarańcze.
Can you spare me a few minutes of your valuable time?	Czy mógłbyś poświęcić mi kilka minut twego cennego czasu?
Don't you have to work?	Czy ty nie musisz pracować?
Tom likes adventure.	Tom lubi przygody.
Wood burns.	Drewno się pali.
We have to buy the tickets right now.	Musimy natychmiast kupić bilety.
It will cost around 10,000 yen.	To będzie kosztować ok. 10 tys. jenów.
You're a beautiful young woman.	Jesteś piękną młodą kobietą.
Tom bent over to pick up a coin that was on the floor.	Tom się schylił by podnieść monetę z podłogi.
He was transported to a local hospital.	Przewieziono go do miejscowego szpitala.
Do you see that house? It's mine.	Widzisz ten dom? To mój.
Run as fast as you can.	Biegnij tak szybko jak możesz.
I like your cat, but it doesn't like me.	Lubię twojego kota, ale on nie lubi mnie.
I lost consciousness.	Straciłem świadomość.
Tom wanted me to come get him.	Tom chciał, żebym się do niego dostał.
Don't show off.	Nie popisuj się.
You may enter.	Możesz wejść.
I don't know how to help.	Nie wie, jak pomóc.
I want to know how long it'll take.	Chcę wiedzieć, jak długo to zajmie.
I have a lot of money, but I don't have many friends.	Mam dużo pieniędzy, ale nie mam wielu przyjaciół.
Tom and Mary are both very excited.	Tom i Mary są bardzo podekscytowani.
I do want to be remembered.	Chcę być zapamiętany.
It was creepy.	To było przerażające.
We can't change the past.	Nie możemy zmienić przeszłości.
You need to know.	Musisz wiedzieć.
I would rather stay at home than go out in the rain.	Wolałbym zostać w domu, niż wychodzić na deszcz.
He does not like us.	On nie lubi nas.
He was standing behind the door.	Stał za drzwiami.
Everything appears to be going well.	Wszystko wydaje się iść dobrze.
Sir, you have left your lighter on the table.	Proszę pana, zostawił pan zapalniczkę na stole!
Are you still angry?	Nadal jesteś zły?
I can't find my luggage.	Nie mogę znaleźć mojego bagażu.
I am eating noodles.	Jem makaron.
You're spontaneous.	Jesteś spontaniczny.
You love that house, don't you?	Uwielbiasz ten dom, no nie?
Don't take your eyes off your children.	Nie spuszczaj dzieci z oczu.
My neck hurts a little.	Szyja mnie trochę boli.
I can't remember the melody of that song.	Nie mogę sobie przypomnieć melodii tej piosenki.
What've you done with my mobile phone?	Co zrobiłaś z moim telefonem komórkowym?
Would you like to go to the mall with us?	Chcesz iść z nami do galerii handlowej?
Is there anything in the box?	Jest coś w tym pudełku?
The crops were damaged by the flood.	Plony zostały zniszczone przez powódź.
The policeman was drunk.	Policjant był pijany.
Here's my pink notebook.	Tu jest mój różowy notatnik.
I'm terribly sorry for being late.	Strasznie przepraszam za spóźnienie.
Don't come into my room without knocking.	Nie wchodź do mojego pokoju bez pukania.
The sale of cigarettes should be banned.	Sprzedaż papierosów powinna być zabroniona.
Look at this stuff.	Spójrz na to.
Chess is hard.	Szachy są trudne.
Fill out this form, please.	Proszę wypełnić ten formularz.
Am I dreaming?	Czy ja śnię?
Tom verified the date of the meeting.	Tom zweryfikował datę spotkania.
I see nothing wrong with it.	Nie widzę w tym nic złego.
You aren't yourself today.	Nie jesteś dziś sobą.
That's me.	To ja.
Have you figured out the math problem yet?	Czy już rozwiązałeś ten matematyczny problem?
She has already lived in that town for five years.	Ona mieszka w tym mieście już 5 lat.
Tell Tom we're going to need more time.	Powiedz Tomowi, że będziemy potrzebowali więcej czasu.
I have to make a phone call.	Muszę zadzwonić.
Don't stare.	Nie gap się.
Turn down the TV.	Ścisz telewizor.
I never imagined he'd do that to me.	Nie spodziewałem się, że zrobi mi coś takiego.
That's not what I meant. I'm sorry.	Nie to miałem na myśli. Przepraszam.
Will they elect him for four more years?	Czy wybiorą go na następne cztery lata?
Tom wants to set up a meeting.	Tom chce zorganizować spotkanie.
Are you hurt?	Jesteś ranny?
Tom always believes me.	Tom zawsze mi wierzy.
It's the size of a small car.	Jest rozmiarów małego samochodu.
Do as you please.	Zrób jak uważasz.
I danced.	Tańczyłem.
Give me a ring tomorrow.	Zadzwoń do mnie jutro.
Are you busy now?	Czy jesteś teraz zajęty?
Do you want to see a trick?	Chcesz zobaczyć sztuczkę?
I think you'd be interested in this.	Myślałem, że będziesz tym zainteresowany.
Is that a crime?	Czy to jest przestępstwo?
Tom and Mary lie to each other all the time.	Tom i Mary cały czas się wzajemnie okłamują.
We ordered Chinese food.	Zamówiliśmy chińszczyznę.
You don't know how serious it is.	Nie wiesz jak to jest poważne.
I told Tom not to do that.	Powiedziałem Tomowi, żeby tego nie robił.
Nobody likes to pay taxes.	Nikt nie lubi płacić podatków.
He's supposed to be living in Nagano. What's he doing at Tokyo station?	Podobno mieszka on w Nagano. Co więc robi na stacji kolejowej w Tokio?
I like Tom's straight-forwardness.	Lubię prostolinijność Toma.
Do it as fast as possible.	Zrób to jak najszybciej.
Tom was notified Monday.	Tom został powiadomiony w poniedziałek.
I sometimes dream of home.	Czasami śni mi się dom.
I will only buy the car if they repair the brakes first.	Kupię ten samochód tylko, gdy najpierw naprawią hamulce.
I want to dance.	Chcę tańczyć.
It's no use.	To nie ma sensu.
Ask him his name.	Zapytaj go o imię.
May I have some more coffee?	Czy mógłbym dostać trochę więcej kawy?
I know that it is highly unlikely that anyone can help me.	Wiem, że jest mało prawdopodobne, by mi ktoś pomógł.
I will go.	Pójdę.
I'm going to play soccer after school.	Będę grał po szkole w piłkę nożną.
Tom liked you.	Spodobałaś się Tomowi.
Everything stopped.	Wszystko się zatrzymało.
She has been sick for a week.	Przez tydzień była chora.
I have a special reason.	Mam szczególny powód.
He will be back before long.	Wkrótce będzie z powrotem.
Speak more slowly, please.	Proszę, mów wolniej!
He sat beside her with his eyes closed.	Usiadł obok niej z zamkniętymi oczyma.
They attacked soldiers who were sent to arrest them.	Zaatakowali żołnierzy wysłanych aby ich aresztować.
Only a few people showed up on time for the meeting.	Tylko kilka osób przyszło punktualnie na spotkanie.
You need to respect Tom's privacy.	Musisz szanować prywatność Toma.
I'd think that the last thing you'd want to do right now is go home.	Podejrzewam, że powrót do domu to ostatnia rzecz, na którą masz teraz ochotę.
I don't eat cucumbers without peeling them.	Nie jem ogórków bez obierania.
Please accept this little gift.	Proszę przyjmij ten mały podarunek.
Please think about it.	Proszę, myśl o tym.
No one saw a thing.	Nikt nic nie widział.
We would move to a bigger house if we had more money.	Przeprowadzilibyśmy się do większego domu, jak byśmy mieli więcej pieniędzy.
Come on, give it to me.	No weź, daj mi to.
Everyone was laughing.	Wszyscy śmiali się.
May I call on you some day?	Mogę do pana wpaść któregoś dnia?
I dreamt about you.	Śniłem o tobie.
Pavlov rang a bell just before he fed his dogs.	Pawłow dzwonił dzwonkiem przed karmieniem swych psów.
What did you eat for breakfast?	Co zjadłeś na śniadanie?
Were you expecting something else?	Oczekiwałeś czegoś innego?
I took it for granted that he would become a member.	Przyjąłem jego członkowstwo za oczywiste.
Do you like caramel-flavored ice cream?	Czy lubisz lody o smaku karmelowym?
Did you remember to buy candles?	Pamiętałeś, żeby kupić świece?
Tom was adamant.	Tom był stanowczy.
If today was Sunday, I'd go fishing.	Gdyby dziś była niedziela, poszedłbym na ryby.
I hope I haven't offended anyone.	Mam nadzieję, że nikogo nie uraziłem.
Luckily the door was open.	Na szczęście drzwi były otwarte.
Our band's been on the road for three months.	Nasz zespół był w trasie przez trzy miesiące.
We deserve to have some fun.	Zasługujemy na trochę zabawy.
I am from Brazil.	Pochodzę z Brazylii.
Tom is a museum curator.	Tom jest kustoszem muzeum.
How about playing golf this afternoon?	Co powiesz na golfa w to popołudnie?
The door is open now.	Drzwi są teraz otwarte.
Tom understood.	Tom zrozumiał.
Where's the closest pharmacy?	Gdzie jest najbliższa apteka?
Tom just wanted to show off.	Tom chciał się tylko popisać.
Tom is obviously trying to cause trouble.	Tom stara się oczywiście spowodować problemy.
Didn't you read the book?	Nie przeczytałeś książki?
Are you easily frustrated?	Czy łatwo się irytujesz?
I have two teenage sons.	Mam dwóch nastoletnich synów.
I should've asked Tom first.	Powinienem był najpierw zapytać Toma.
The job will be completed before tomorrow.	Do jutra skończę robotę.
He is practically dead.	On jest praktycznie martwy.
I hope you can help.	Mam nadzieję, że możesz pomóc.
I'd do it.	Zrobiłbym to.
She was able to cook herself dinner, after a fashion.	Była w stanie jakoś zrobić sobie obiad.
Tom is awfully quiet today, isn't he?	Tom jest dzisiaj strasznie cichy, prawda?
We'll all be dead eventually.	Na końcu i tak wszyscy umrzemy.
Tom speaks with a French accent.	Tom mówi z francuskim akcentem.
I was surprised when Tom said he was planning to go to Boston.	Byłem zaskoczony, kiedy Tom powiedział, że planuje jechać do Bostonu.
This is how we do it.	W ten sposób to robimy.
This is an orange tree.	To jest drzewo pomarańczowe.
We're getting some very interesting results.	Otrzymujemy bardzo ciekawe wyniki.
I'll do anything you say.	Zrobię wszystko, co mówisz.
Tom didn't want to take any chances.	Tom nie chciał ryzykować.
You're courageous.	Jesteś odważny.
That kind of talk will get you nowhere.	Ta rozmowa nic nam nie da.
The man died of cancer.	Mężczyzna umarł na raka.
I am ashamed.	Wstyd mi.
I like to eat Korean food.	Lubię kuchnię koreańską.
He knows how to grill fish.	On wie, jak grillować ryby.
Red wine goes well with meat.	Czerwone wino dobrze pasuje do mięsa.
Who's Tom looking for?	Kogo szuka Tom?
Remember to mail the letter.	Pamiętaj, by wysłać list.
Tom died last October.	Tom zmarł w zeszłym październiku.
Tom may come back.	Tom może wrócić.
Tom wondered what Mary was looking for.	Tom zastanawiał się, czego szukała Mary.
I'm afraid that won't be enough.	Obawiam się, że to nie wystarczy.
He chuckled.	Zachichotał.
What did she say?	Co ona powiedziała?
I'll call back later.	Oddzwonię później.
I just wanted your advice.	Chciałem tylko twojej rady.
Are you uncomfortable?	Jest ci niewygodnie?
Tom and Mary are waiting with John.	Tom i Mary czekają z Johnem.
I need a bigger frying pan.	Potrzebuję większej patelni.
We should make every effort to maintain world peace.	Musimy dołożyć wszelkich starań, by utrzymać pokój na świecie.
You should go to the gym at least twice a week.	Powinieneś chodzić na siłownię przynajmniej dwa razy w tygodniu.
My shoes are bigger than Tom's.	Moje buty są większe niż Toma.
Do you often eat granola?	Często jesz musli?
How long has Tom been a student here?	Jak długo Tom jest tutaj studentem?
I didn't say it wasn't OK to eat.	Nie mówiłem, że można jeść.
Tom seems suspicious.	Tom wygląda podejrzliwie.
What do you want me to do now?	Co chcesz, żebym teraz zrobił?
Tom acted as if he didn't know Mary.	Tom zachowywał się tak, jakby nie znał Mary.
How dare you ask me for help!	Jak śmiesz prosić mnie o pomoc?
Let's pretend we didn't hear that.	Udawajmy, że tego nie słyszeliśmy.
I know where they're taking Tom.	Wiem, gdzie zabierają Toma.
Aren't you afraid?	Nie boisz się?
I like dogs, too.	Ja też lubię psy.
I've recently changed brands of toothpaste.	Zmieniłem ostatnio markę pasty do zębów.
I can't breathe.	Nie mogę oddychać.
The box is too heavy to carry.	To pudełko jest za cieżkie do noszenia.
Call us.	Zadzwoń do nas.
He made up his mind to be a doctor.	Postanowił zostać lekarzem.
I think we should tell Tom.	Myślę, że powinniśmy powiedzieć Tomowi.
Why did you call me?	Dlaczego do mnie zadzwoniłeś?
This is your lucky day.	To jest twój szczęśliwy dzień.
Which is larger, the sun or the earth?	Co jest większe, słońce czy ziemia?
Nobody has the right to do that.	Nikt nie ma prawa tego robić.
Tom, Mary, John and Alice were sitting around the table, playing cards.	Tom, Mary, John i Alice siedzieli dookoła stołu i grali w karty.
I'll be back by 2:30.	Wrócę przed 2:30.
She must be sick.	Ona musi być chora.
Mary isn't really sick. She's only pretending to be.	Mary tak naprawdę nie jest chora. Udaje tylko, że jest.
I seldom drink coffee in the evening.	Rzadko wieczorem piję kawę.
Tom says that he wants to go to Boston.	Tom mówi, że chce jechać do Bostonu.
Now that you know what the problem is, how long do you think it'll take to fix it?	Teraz, skoro już znasz problem, jak myślisz - jak długo potrwa naprawa?
They spent the night on the beach.	Spędzili noc na plaży.
I can't believe that you love me.	Nie wierzę, że mnie kochasz.
I'm sure Tom won't want to do that.	Jestem pewien, że Tom nie będzie chciał tego zrobić.
I already bought it.	Już to kupiłem.
I can't believe you're going to give away all your money.	Nie mogę uwierzyć, że chcesz rozdać wszystkie swoje pieniądze.
Tom likes experimenting.	Tom lubi eksperymentować.
I don't need to go to the doctor.	Nie muszę iść do lekarza.
I don't have enemies.	Nie mam wrogów.
Communists took power in China in 1949.	Komuniści doszli do władzy w Chinach w 1949.
Keep it.	Zatrzymaj to.
Tom said he wanted to be here.	Tom powiedział, że chce tutaj być.
Do you have a dictionary?	Czy masz słownik?
It's too loud.	Jest za głośno.
I sold my books cheaply.	Tanio sprzedałem moje książki.
Oh no!	O nie!
I've come to warn you about what's going to happen.	Przyszedłem ostrzec cię przed tym, co się stanie.
It's Tom's fault.	To wina Tomka.
He smokes twenty cigarettes per day.	Wypala dwadzieścia papierosów dziennie.
You're twice as smart as anyone else in the room.	Jesteś dwa razy mądrzejszy od każdego innego w tym pokoju.
No one is too old to learn.	Nikt nie jest za stary na naukę.
This was your idea, Tom.	Tom, to był twój pomysł.
To tell the truth, I don't like his way of thinking.	Prawdę mówiąc, nie podoba mi się jego sposób myślenia.
My band will perform this week at Chuck's Bar and Grill. Please come and see us.	Mój zespół wystąpi w tym tygodniu w „Chuck's Bar and Grill”. Przyjdźcie zobaczyć!
What are the men doing?	Co robią mężczyźni?
We'll need shelter.	Potrzebujemy schronienia.
Do you really think you can drink that whole bottle of wine by yourself?	Czy naprawdę myślisz, że sam możesz wypić całą tę butelkę wina?
Generally speaking, what she says is right.	Ogólnie rzecz biorąc ona ma rację.
Let's have a ten-minute break.	Zróbmy dziesięciominutową przerwę.
I didn't tell you to do that.	Nie powiedziałem ci, żebyś to zrobił.
I parked my car by the gate.	Zaparkowałem samochód przy bramie.
Can we trust Tom to do that?	Możemy ufać Tomowi, że to zrobi?
Are you still talking about Tom?	Ciągle mówisz o Tomie?
This is the TV station where my uncle works as an announcer.	To jest stacja TV, w której mój wujek jest prezenterem.
They stopped.	Zatrzymali się.
She looked as though she had seen a ghost.	Wyglądała jakby zobaczyła ducha.
Tom isn't rich, but he's happy.	Tom nie jest bogaty, ale jest szczęśliwy.
I'm so glad I did that.	Tak się cieszę, że to zrobiłem.
I'd like to thank you all for coming today.	Chciałbym wam wszystkim podziękować za dzisiejsze przyjście.
Are you still seeing the same girl?	Nadal spotykasz się z tą samą dziewczyną?
Listen, all of you.	Proszę, posłuchajcie.
I've eaten my sandwich.	Zjadłem swoją kanapkę.
Every person will be admitted regardless of his or her age.	Przyjmujemy każdego, bez względu na wiek.
Press here.	Naciśnij tutaj.
She can sing very well.	Ona bardzo ładnie śpiewa.
What club do you belong to?	Do którego klubu należysz?
He failed in his attempt to swim across the river.	Nie dał rady przepłynąć przez rzekę.
I'd like to see her again.	Chciałbym ją jeszcze raz zobaczyć.
Can someone answer the telephone?	Czy ktoś mógłby odebrać telefon?
Be nice.	Bądź miły.
He became a famous singer.	Stał się sławnym piosenkarzem.
We play on Sunday.	Gramy w niedzielę.
I'm not even supposed to be here.	Nie powinno mnie tu nawet być.
Don't forget to close the door after yourself when you leave.	Nie zapomnij zamknąć za sobą drzwi, kiedy będziesz szedł.
Both girls laughed.	Obie dziewczyny śmiały się.
Tom told me you're from Boston.	Tom powiedział mi, że jesteś z Bostonu.
Don't worry. You'll make it.	Nie przejmuj się. Uda ci się.
Tom didn't have the time to do everything that Mary asked him to do.	Tom nie miał czasu zrobić wszystkiego, o co Mary go poprosiła.
I don't want your money.	Nie chcę waszych pieniędzy.
It's getting easier to find audio files by native speakers for almost any language you might want to study.	Coraz łatwiej znaleźć pliki z nagraniami dźwiękowymi dokonanymi przez rodzimych użytkowników dowolnych języków, jakich tylko zechcemy się uczyć.
Choose between these two.	Wybierz między tymi dwoma.
I knit.	Robiłam na drutach.
I can't help you.	Nie potrafię ci pomóc.
What do we need to know?	Czego musimy się dowiedzieć?
Would you be interested in going to Tom's party with me?	Byłbyś zainteresowany pójściem na przyjęcie Toma ze mną?
Let me know what I can do.	Daj mi znać, co mogę zrobić.
The girl who works at the bakery is cute.	Dziewczyna pracująca w piekarni jest fajna.
That's the worst joke I've ever heard.	To najgorszy dowcip jaki kiedykolwiek słyszałam.
Thanks in advance.	Z góry dziękuję.
Have you been shot?	Zostałeś postrzelony?
She looks happy.	Wygląda na szczęśliwą.
Tom found the key he had been looking for.	Tom znalazł klucz, którego szukał.
It looks like it's quarter past ten now.	Wygląda na to, że jest kwadrans po dziesiątej.
Does Tom get migraines often?	Tom często miewa migreny?
Tom is helping his wife.	Tom właśnie pomaga swojej żonie.
Is it worth something?	Czy to jest coś warte?
Mary is a married woman.	Mary jest mężatką.
The coach gave me some advice.	Trener dał mi pewną radę.
What happened in here?	Co tu się stało?
I have several caps.	Mam kilka czapek.
We should be helping.	Powinniśmy pomagać.
I have to deal with that.	Muszę sobie z tym poradzić.
You must be joking!	Chyba żartujesz!
Tom suddenly burst out laughing.	Tom nagle wybuchnął śmiechem.
Who told you to say that to me?	Kto ci kazał powiedzieć mi to?
Somehow or other I found his house.	Jakimś cudem znalazłem jego dom.
I wouldn't put too much trust in Tom.	Nie pokładałbym w Tomie zbyt wiele zaufania.
I can't agree with you.	Nie mogę się z tobą zgodzić.
Tom inhaled.	Tom wciągnął.
Would you like me to help you?	Czy potrzebujesz pomocy?
He tried to behave as bravely as possible while he was being held hostage.	Podczas gdy był zakładnikiem, próbował zachowywać się najodważniej, jak umiał.
She knows me.	Ona mnie zna.
Tom was the last runner to cross the finish line.	Tom był ostatnim biegaczem przekraczającym linie mety.
Now that I am here, you don't have to worry.	Jestem tu, więc się nie martw.
Please don't shout.	Proszę, nie krzycz.
The police didn't believe his denial.	Policja nie wierzyła w jego zaprzeczenia.
He lost his ticket for the movie.	Zgubił swój bilet na film.
I go out sometimes for a beer.	Czasami ide na piwo.
Tom is very busy now.	Tomek jest teraz bardzo zajęty.
That's true as well.	To także jest prawdą.
We've got to talk seriously.	Musimy poważnie porozmawiać.
You can't win all the time.	Nie możesz zawsze wygrywać.
There is only one store on the whole island.	Jest tylko jeden sklep na całej wyspie.
I could have lost my job.	Mogłem stracić pracę.
I can't figure out how to transfer MP3 files from my iPod back to my computer.	Nie mam pojęcia, jak przenieść pliki mp3 z mojego iPoda z powrotem na komputer.
We'll be back next year.	Wrócimy w przyszłym roku.
The bills keep piling up.	Rachunki wciąż się gromadzą.
What happened to your other car?	Co stało się z twoim drugim samochodem.
Time is the most precious thing of all.	Czas jest najcenniejszą rzeczą ze wszystkich.
Tom said that he used to live in Boston.	Tom mówił, że mieszkał w Bostonie.
What do you want to give Tom?	Co chcesz dać Tom'owi?
Ho Chi Minh City is the largest city in Vietnam.	Miasto Hochiminh jest największym miastem w Wietnamie.
I want to take a look inside.	Chcę zobaczyć w środku.
Clean it up, Tom.	Posprzątaj to, Tom.
Tom is a deep-sea diver.	Tom jest nurkiem głębinowym.
I felt intimidated.	Czułem się zastraszony.
I'll teach you how to skate.	Nauczę cię jeździć na łyżwach.
Please keep on working even when I'm not here.	Proszę kontynuować pracę, nawet jeżeli mnie tu nie będzie.
How much did Tom take from you?	Ile Tom od ciebie wziął?
We need an ambulance.	Potrzebujemy karetki.
He is asleep.	On śpi.
I have known her since she was a baby.	Znam ją, odkąd była niemowlakiem.
We're part of the problem.	Jesteśmy częścią problemu.
Tom told me Mary knew how to eat with chopsticks.	Tom powiedział mi, że Mary wie jak jeść pałeczkami.
Technically, I wasn't lying.	W zasadzie to nie skłamałam.
How hungry are you, Tom?	Jak bardzo jesteś głodny Tom?
If you understand, raise your hand.	Jeśli rozumiesz, podnieś rękę.
We're giving up.	Poddajemy się.
Tom followed Mary down the stairs.	Tom zszedł za Mary po schodach.
I don't think Tom should go back to Boston.	Moim zdaniem Tom nie powinien wracać do Bostonu.
I've had a really tough day.	Miałem naprawdę ciężki dzień.
I know we can do it.	Wiem, że damy radę to zrobić.
Tom came back from Australia a week earlier than we expected him to.	Tom wrócił z Australii o tydzień wcześniej, niż spodziewaliśmy się.
Get up early in the morning.	Wstań wcześnie rano.
